Column_1,nd,tsd
0,37910,38704
1,38047,38964
2,37380,38651
3,36426,37775
4,35687,37298
5,35408,37135
6,34322,36844
7,33076,35678
8,31970,34635
9,31270,33934
10,30726,33378
11,30320,32915
12,30429,32875
13,30287,32720
14,29650,31900
15,28841,31055
16,29007,31094
17,29787,31440
18,31362,32079
19,33257,33926
20,34932,35602
21,36579,37312
22,37967,38751
23,39235,40013
24,40204,41058
25,40672,41457
26,40806,41479
27,40781,41450
28,40758,41427
29,40524,41189
30,40796,41417
31,41703,42332
32,43527,44133
33,45488,46096
34,46028,46634
35,45876,46515
36,45195,45865
37,44289,44965
38,43784,44579
39,42583,43425
40,42181,43000
41,40746,41596
42,39961,40813
43,38333,39182
44,36951,37797
45,35987,36781
46,34769,36116
47,33504,35379
48,34221,35837
49,34029,36024
50,33705,35718
51,32904,34798
52,32715,34528
53,32867,34673
54,32262,34161
55,31464,33540
56,30776,32965
57,30347,32513
58,30291,32319
59,30595,32473
60,31900,33437
61,33131,34146
62,33977,34964
63,34708,35648
64,36067,37007
65,37976,38914
66,39972,40912
67,41339,42279
68,42408,43347
69,42972,43955
70,43418,44044
71,43652,44266
72,43988,44628
73,43882,44584
74,43957,44715
75,43673,44393
76,43795,44471
77,43613,44259
78,43936,44561
79,44767,45396
80,46900,47533
81,49706,50343
82,51181,51797
83,51268,51876
84,50448,51081
85,49419,50056
86,48356,49107
87,46897,47675
88,45766,46470
89,44489,45208
90,43103,43898
91,41338,42147
92,40133,40943
93,38940,39713
94,37310,38817
95,36160,38267
96,36626,38278
97,36153,37804
98,35558,37437
99,34533,36414
100,34118,36027
101,34140,36113
102,33497,35617
103,32708,34947
104,32000,34399
105,31607,34137
106,31374,33850
107,31433,33868
108,32116,34083
109,32522,33843
110,32979,33594
111,33360,34065
112,34669,35439
113,36589,37358
114,38768,39537
115,40235,41002
116,41431,42198
117,42019,42787
118,42315,43083
119,42421,43189
120,42653,43421
121,42508,43276
122,42351,43119
123,41856,42620
124,41696,42454
125,41525,42202
126,41848,42448
127,42631,43236
128,45019,45627
129,48084,48659
130,49881,50418
131,49834,50422
132,49416,50066
133,48370,49017
134,47345,47948
135,46190,46798
136,45080,45688
137,43622,44257
138,42299,43037
139,40793,41557
140,39593,40341
141,38560,39238
142,37101,38800
143,36265,38336
144,36713,38749
145,36173,38318
146,35395,37621
147,34446,36664
148,33898,36079
149,33957,36047
150,33628,35783
151,32787,35010
152,32076,34264
153,31545,33775
154,31166,33518
155,30904,33123
156,31166,33197
157,31174,33043
158,31046,32072
159,31020,31643
160,31999,32618
161,33665,34285
162,35902,36520
163,37919,38536
164,40144,40764
165,41664,42285
166,43026,43628
167,43935,44513
168,44747,45383
169,44918,45583
170,45087,45771
171,44942,45566
172,45063,45686
173,45105,45726
174,45120,45742
175,46031,46655
176,47778,48404
177,50117,50735
178,50628,51236
179,50293,50918
180,49727,50352
181,48632,49258
182,47634,48259
183,46681,47310
184,46082,46746
185,44452,45178
186,43504,44322
187,41342,42105
188,39890,40598
189,38023,38814
190,35705,38217
191,34558,38051
192,35293,38323
193,35182,38372
194,34988,38185
195,34328,37637
196,34209,37596
197,34513,37849
198,34075,37398
199,33280,36715
200,32684,36121
201,32632,36048
202,32822,36232
203,33748,37100
204,36507,39330
205,39690,41932
206,43268,45016
207,45523,47270
208,46998,48745
209,47948,49691
210,49557,51135
211,50218,51513
212,50624,51837
213,50760,51947
214,51057,52229
215,51100,52272
216,51356,52529
217,51128,52349
218,51105,52504
219,50904,52229
220,51117,52438
221,50906,52134
222,50706,51339
223,51577,52210
224,53469,54108
225,56299,56915
226,57511,58201
227,56906,57631
228,56381,57017
229,55441,56072
230,54385,55247
231,53080,54036
232,51434,52351
233,50135,50938
234,48545,49566
235,45920,47164
236,44086,45510
237,41578,43809
238,39029,42922
239,37644,41759
240,38051,42182
241,38013,42134
242,37904,42088
243,37351,41558
244,37138,41293
245,37475,41607
246,37167,41283
247,36525,40624
248,36035,40169
249,35908,40035
250,36212,40796
251,37276,41803
252,40062,44344
253,43224,46623
254,46930,49118
255,49031,51156
256,49844,51930
257,50139,51977
258,51470,53310
259,52011,53813
260,52128,53784
261,52148,53450
262,52020,53348
263,51988,53316
264,52074,53403
265,51836,53210
266,51657,53185
267,51318,52846
268,51470,52998
269,51270,52652
270,51171,51777
271,52309,52915
272,54404,55014
273,57571,58167
274,58594,59171
275,58045,58626
276,57401,57987
277,56559,57165
278,55559,56171
279,53965,54580
280,52967,53671
281,51282,52091
282,49370,50773
283,47010,48755
284,44653,46309
285,42281,43978
286,39576,42479
287,38394,42091
288,38746,42108
289,38615,42319
290,38580,42061
291,38090,41713
292,37939,41962
293,38233,42243
294,37785,41914
295,37245,41498
296,36671,40906
297,36598,40727
298,36797,40616
299,37483,41286
300,40212,43271
301,43441,45580
302,47218,48416
303,49686,50442
304,50800,51582
305,50594,51386
306,51792,52556
307,52420,53185
308,52631,53394
309,52853,53613
310,52910,53671
311,52847,53608
312,53010,53770
313,52821,53581
314,52632,53393
315,52500,53260
316,52581,53355
317,52392,53084
318,52247,52855
319,53325,53932
320,55383,55995
321,57494,58056
322,58295,58839
323,57507,58092
324,56830,57440
325,55737,56350
326,54490,55101
327,53306,53914
328,51900,52505
329,50014,50617
330,48340,49044
331,46236,46960
332,43706,44911
333,41520,42808
334,39085,41667
335,37606,41034
336,38055,41333
337,37957,41215
338,37821,41230
339,37165,40447
340,36872,40368
341,37124,40564
342,36508,39944
343,35998,39473
344,35455,39134
345,35165,38777
346,35354,38722
347,36119,39354
348,39045,41976
349,42301,44840
